event_id,suggested_notation_decision,confidence,rationale
ChopinEtudes_op_25_10:LH:41:66.000000:2,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:78:68.666667:3,0.208333,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:78:69.125000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:78:69.750000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:78:70.333333:3,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:78:70.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:78:71.500000:3,0.375,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:58.125000:3,2.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:79:58.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:59.250000:5,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:59.500000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:59.750000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:60.000000:5,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:79:60.625000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:60.875000:2,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:79:61.250000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:61.500000:2,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:61.750000:5,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:79:62.333333:5,0.166667,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:62.500000:5,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:63.125000:4,0.375,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:63.500000:2,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:79:65.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:66.000000:5,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:79:67.125000:3,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:79:68.250000:3,0.416667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:79:69.500000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:79:70.625000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:79:71.750000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:80:62.875000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:80:64.500000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:82:57.250000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:82:58.625000:5,0.375,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:82:59.375000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:82:59.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:82:60.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:82:60.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:82:61.625000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:82:62.000000:4,0.333333,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:82:62.625000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:82:64.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:82:64.375000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:82:64.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:83:56.875000:2,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:83:57.500000:2,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:83:58.125000:4,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:83:58.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:83:61.250000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:83:61.750000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:83:62.375000:4,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:83:63.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:83:64.125000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:83:64.750000:2,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:84:59.250000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:84:60.375000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:84:62.500000:4,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:84:63.750000:2,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:85:56.625000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:85:57.875000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:85:59.625000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:85:60.000000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:85:61.500000:5,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:85:62.875000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:85:63.500000:4,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:86:56.333333:2,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:86:59.750000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:86:63.250000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:87:56.125000:2,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:88:56.125000:2,0.208333,medium,reference=0.333333333; best candidate match
